,filename,measure,current_chord,next_chord,current_position,next_position
519,8,13.5,G9,Gm9,x.5.3.4.3.x,x.x.8.7.6.5
522,8,17.0,Ab9,G9,x.x.6.5.7.6,x.x.5.4.6.5
523,8,16.5,C,Ab9,x.3.2.0.1.3,x.x.6.5.7.6
530,8,22.0,G,Gaug5,3.x.0.0.0.x,3.x.1.2.4.x
531,8,21.5,Gadd9,G,3.x.0.2.x.x,3.x.0.0.0.x
532,8,22.5,Gaug5,G6,3.x.1.2.4.x,3.x.2.2.3.x
533,8,23.5,G6,G7,3.x.2.2.3.x,3.x.3.2.x.x
534,8,26.0,C7M,Bm7,x.3.5.4.5.3,7.x.7.7.7.0
535,8,28.5,Am7add4,Gadd9,0.0.5.5.3.x,3.x.0.2.3.x
536,8,30.0,G6,G5,3.x.0.4.3.x,3.x.0.0.3.3
537,8,29.5,Gadd9,G6,3.x.0.2.3.x,3.x.0.4.3.x
562,8,51.0,Csus4,Gadd9,x.x.3.0.1.x,3.x.0.2.x.x
563,8,50.5,Csus4,Csus4,x.x.3.0.1.3,x.x.3.0.1.x
569,8,58.0,C7M,Dm7,x.3.5.4.5.3,x.5.7.5.6.x
570,8,58.5,Dm7,C7M,x.5.7.5.6.x,x.3.5.4.5.3
571,8,59.5,C7M,Bm7,x.3.5.4.5.3,7.x.0.7.7.5
594,8,81.0,C,Ab9,x.x.2.0.1.3,x.x.6.5.7.6
595,8,80.5,Csus4,C,x.x.3.0.1.3,x.x.2.0.1.3
608,8,89.5,Gadd9,Gaug5,3.x.0.2.x.x,3.x.1.2.4.x
612,8,98.0,G,F/G,3.5.5.4.3.3,3.x.3.2.1.1
613,8,100.0,C,G,x.3.2.0.1.3,3.5.5.4.3.3
621,8,112.5,G,Ab9,3.5.5.4.3.3,x.x.6.5.7.6
624,8,116.0,C,Csus4,3.x.2.0.1.3,x.x.3.0.1.3
630,8,120.0,C,Csus4,x.x.2.0.1.3,x.x.3.0.1.3
634,9,29.0,G5,F#5,x.10.12.x.x.x,x.9.11.x.x.x
635,9,28.5,E5,G5,0.7.9.9.x.x,x.10.12.x.x.x
636,9,29.5,E5,D,x.7.9.x.x.x,x.5.7.7.7.x
637,9,31.0,B5,Bm7/11,x.2.4.4.x.x,x.x.x.2.3.0
638,9,30.5,D,B5,x.5.7.7.7.x,x.2.4.4.x.x
639,9,31.5,Bm7/11,E5,x.x.x.2.3.0,0.7.9.9.x.x
684,10,146.0,F,G,x.x.3.2.1.x,x.x.5.4.3.x
685,10,147.0,Am,G,x.x.7.5.5.x,x.x.5.4.3.x
686,10,146.5,G,Am,x.x.5.4.3.x,x.x.7.5.5.x
688,10,147.5,G,F,x.x.5.4.3.x,x.x.3.2.1.x
755,11,64.0,C,Am7,x.3.5.5.5.x,5.x.5.5.5.x
756,11,65.0,Dm7,G7,x.5.x.5.6.5,3.x.3.4.3.x
757,11,64.5,Am7,Dm7,5.x.5.5.5.x,x.5.x.5.6.5
759,11,65.5,G7,C,3.x.3.4.3.x,x.3.5.5.5.x
769,11,76.0,Edim7,A7,x.7.8.6.8.x,5.x.5.6.5.x
770,11,75.5,G7,Edim7,3.x.3.4.3.x,x.7.8.6.8.x
772,11,76.5,A7,Dm7,5.x.5.6.5.x,x.5.x.5.6.5
775,11,79.0,F#m7(b5),B9,2.x.2.2.1.x,x.2.1.2.2.x
776,11,78.5,Am7,F#m7(b5),5.x.5.5.5.x,2.x.2.2.1.x
777,11,79.5,B9,E6,x.2.1.2.2.x,x.x.2.1.2.x
778,11,80.5,E6,B7/F#,x.x.2.1.2.x,x.x.4.2.4.x
779,11,81.5,B7/F#,E6,x.x.4.2.4.x,x.x.2.1.2.x
784,11,86.5,E6,G7,x.x.2.1.2.x,3.x.3.4.3.x
795,11,93.0,C,G7,x.3.5.5.5.x,3.x.3.4.3.x
796,11,92.5,A7,C,5.x.5.6.5.x,x.3.5.5.5.x
799,12,6.5,Emaj7add13,F#sus4,0.x.6.6.4.x,2.x.4.4.2.x
800,12,7.5,F#sus4,Badd11,2.x.4.4.2.x,7.x.9.8.5.x
804,12,15.5,F#sus4,G#m7add11,2.x.4.4.2.x,4.x.4.4.2.x
805,12,16.5,G#m7add11,Emaj7add13,4.x.4.4.2.x,0.x.6.6.4.x
807,12,18.5,F#sus4,F#,2.x.4.4.2.x,2.4.4.3.2.2
808,12,19.5,F#,Badd11,2.4.4.3.2.2,7.x.9.8.5.x
828,12,51.5,F#,Bmadd9,2.4.4.3.2.2,7.9.11.0.x.x
829,12,54.5,Emadd9,F#7sus4,0.2.4.0.x.x,2.4.2.4.2.2
830,12,55.5,F#7sus4,Bmadd9,2.4.2.4.2.2,7.9.11.0.x.x
834,12,63.5,F#7sus4,Gadd9,2.4.2.4.2.2,3.x.0.2.0.x
835,12,64.5,Gadd9,Emadd9,3.x.0.2.0.x,0.2.4.0.x.x
837,12,66.5,F#7sus4,F#7,2.4.2.4.2.2,2.4.2.3.2.2
838,12,67.5,F#7,Gadd9,2.4.2.3.2.2,3.x.0.2.0.x
842,12,71.5,F#7,F#,2.4.2.3.2.2,2.4.4.3.2.2
883,13,4.0,Em,Em9,x.7.9.0.8.0,x.7.5.7.7.x
885,13,5.5,Am7,Em,5.7.5.5.x.x,x.7.9.0.8.0
886,13,7.0,C7M,Am7,x.3.5.4.5.0,5.7.5.5.x.x
887,13,6.5,Em9,C7M,x.7.5.7.7.x,x.3.5.4.5.0
895,13,27.5,C7M,Em,x.3.5.4.5.0,x.7.9.0.8.0
899,13,40.0,C7M,A7,x.3.5.4.5.0,x.0.2.0.2.0
903,13,45.5,A7,C7M,x.0.2.0.2.0,x.3.5.4.5.0
906,13,49.5,C7M,Em9,x.3.5.4.5.0,x.7.5.7.7.x
915,14,19.0,E5,C#5,0.2.2.x.x.x,x.4.6.6.x.x
916,14,20.0,G#5,A5,4.6.6.x.x.x,5.7.7.x.x.x
917,14,19.5,C#5,G#5,x.4.6.6.x.x,4.6.6.x.x.x
918,14,21.0,E5,G#5,0.2.2.x.x.x,4.6.6.x.x.x
919,14,20.5,A5,E5,5.7.7.x.x.x,0.2.2.x.x.x
920,14,22.0,A,Am,5.7.7.6.5.5,5.7.7.5.5.5
921,14,21.5,G#5,A,4.6.6.x.x.x,5.7.7.6.5.5
922,14,22.5,Am,C#m,5.7.7.5.5.5,9.11.11.9.9.9
923,14,23.5,C#m,B,9.11.11.9.9.9,7.9.9.8.7.7
933,15,7.5,Bbm/Eb,Ab7M,x.6.8.6.6.x,4.6.5.5.4.x
934,15,34.0,Daug/C,C9(no5),x.3.x.3.3.2,x.3.x.3.3.0
936,15,34.5,C9(no5),Daug/C,x.3.x.3.3.0,x.3.x.3.3.2
940,15,37.5,Daug/C,Ab7M,x.3.x.3.3.2,4.6.5.5.4.x
941,16,5.0,B,Bsus4,x.2.4.4.4.x,x.2.4.4.5.x
943,16,5.5,Bsus4,B,x.2.4.4.5.x,x.2.4.4.4.x
955,16,12.5,B,F#5,x.2.4.4.4.x,2.4.4.x.x.x
956,16,17.0,D,E,x.x.19.19.19.x,x.x.21.21.21.x
957,16,18.0,A,E,x.x.14.14.14.x,x.x.21.21.21.x
958,16,17.5,E,A,x.x.21.21.21.x,x.x.14.14.14.x
960,16,18.5,B,B,x.x.16.16.16.x,x.2.4.4.4.x
977,16,31.5,B,A,x.x.16.16.16.x,x.x.14.14.14.x
1044,16,74.5,B,A,x.2.4.4.4.x,x.x.14.14.14.x
1051,17,97.5,D,Bm,x.x.0.2.3.2,x.2.4.4.3.2
1052,17,99.0,F#m,F#7sus4,2.4.4.2.2.2,2.4.2.4.x.x
1053,17,98.5,Bm,F#m,x.2.4.4.3.2,2.4.4.2.2.2
1055,17,99.5,F#m,F#m,2.4.4.2.2.2,2.4.4.2.2.2
1056,17,100.5,F#m,D,2.4.4.2.2.2,x.x.0.2.3.2
1070,17,110.5,Bm,A,x.2.4.4.3.2,x.0.2.2.2.0
1071,17,113.5,G,A,3.5.5.4.3.3,5.7.7.6.5.5
1072,17,114.5,A,G,5.7.7.6.5.5,3.5.5.4.3.3
1077,17,119.5,G,G,3.5.5.4.3.3,3.5.5.4.3.3
1078,17,120.5,G,A,3.5.5.4.3.3,x.0.2.2.2.0
1130,18,5.5,Bb,C,x.1.3.3.3.1,x.3.5.5.5.3
1131,18,7.0,D,C,x.5.7.7.7.5,x.3.5.5.5.3
1132,18,6.5,C,D,x.3.5.5.5.3,x.5.7.7.7.5
1135,18,9.0,C,Bb,x.3.5.5.5.3,x.1.3.3.3.1
1137,18,10.0,Db,Ab,x.4.6.6.6.4,4.6.6.5.4.4
1138,18,9.5,Eb,Db,x.6.8.8.8.6,x.4.6.6.6.4
1151,18,22.0,C,D,x.3.5.5.5.3,x.x.0.2.3.2
1166,18,33.0,D,Dsus2,x.x.0.2.3.2,x.x.0.2.3.0
1167,18,34.0,D,Dsus4,x.x.0.2.3.2,x.x.0.2.3.3
1168,18,33.5,Dsus2,D,x.x.0.2.3.0,x.x.0.2.3.2
1169,18,34.5,D,A,x.x.0.2.3.2,x.0.2.2.2.x
1170,18,36.0,Am,Asus2,x.0.2.2.1.0,x.0.2.2.0.0
1171,18,35.5,A,Am,x.0.2.2.2.x,x.0.2.2.1.0
1172,18,36.5,Am,Em,x.0.2.2.1.0,0.2.2.0.0.0
1174,18,37.5,Em,D,0.2.2.0.0.0,x.x.0.2.3.2
1177,18,39.5,D,Em,x.x.0.2.3.2,0.2.2.0.0.0
1182,18,42.5,D,A,x.x.0.2.3.2,x.0.2.2.2.0
1184,18,43.5,A,Am,x.0.2.2.2.0,x.0.2.2.1.0
1226,18,79.5,Em,Am,0.2.2.0.0.0,x.0.2.2.1.0
1241,18,93.5,Dsus2,Em,x.x.0.2.3.0,0.2.2.0.0.0
1280,18,138.5,Em,C,0.2.2.0.0.0,x.3.2.0.1.0
1281,18,139.5,C,D,x.3.2.0.1.0,x.x.0.2.3.2
1289,18,152.5,D,D,x.x.0.2.3.2,x.x.0.2.3.2
1293,18,154.5,Dsus4,D,x.x.0.2.3.3,x.x.0.2.3.2
1341,18,199.5,C,C,x.3.5.5.5.3,x.3.5.5.5.3
1373,19,0.5,E,D5,x.7.9.9.9.x,x.5.7.7.x.x
1374,19,2.0,D/C#,A5,x.4.7.x.x.x,x.0.2.2.x.x
1375,19,1.5,D5,D/C#,x.5.7.7.x.x,x.4.7.x.x.x
1383,19,6.5,E,E,x.7.9.9.9.x,x.7.9.9.9.x
1386,19,33.0,A5,C5,x.0.2.2.x.x,x.3.5.x.x.x
1387,19,33.5,C5,D5,x.3.5.x.x.x,x.5.7.7.x.x
1388,19,34.5,D5,A5,x.5.7.7.x.x,x.0.2.2.x.x
1392,19,41.5,D5,C5,x.5.7.7.x.x,x.3.5.x.x.x
1395,19,44.5,C5,G5,x.3.5.x.x.x,3.x.0.0.3.3
1396,19,46.0,D5,A5,x.x.0.2.3.x,x.0.2.2.x.x
1397,19,45.5,G5,D5,3.x.0.0.3.3,x.x.0.2.3.x
1433,20,20.5,C/G,D/F#,3.3.2.0.1.0,2.x.0.2.3.2
1434,20,22.0,Am,Am/E,x.0.2.2.1.0,0.0.2.2.1.0
1435,20,21.5,D/F#,Am,2.x.0.2.3.2,x.0.2.2.1.0
1436,20,22.5,Am/E,G,0.0.2.2.1.0,3.2.0.0.3.3
1437,20,24.0,Dsus4,Dsus4/F#,x.x.0.2.3.3,2.x.0.2.3.3
1438,20,23.5,G,Dsus4,3.2.0.0.3.3,x.x.0.2.3.3
1439,20,24.5,Dsus4/F#,G,2.x.0.2.3.3,3.2.0.0.3.3
1440,20,25.5,G,Am/E,3.2.0.0.3.3,0.0.2.2.1.0
1442,20,27.5,G,C/G,3.2.0.0.3.3,3.3.2.0.1.0
1449,20,32.5,Dsus4/F#,C/G,2.x.0.2.3.3,3.3.2.0.1.0
1450,20,33.5,C/G,Am,3.3.2.0.1.0,x.0.2.2.1.0
1451,20,34.5,Am,G,x.0.2.2.1.0,3.2.0.0.3.3
1452,21,5.0,A,E,x.0.2.2.2.x,0.2.2.1.x.x
1453,21,6.0,F#m,C#m,2.4.4.2.2.2,x.4.6.6.5.4
1454,21,5.5,E,F#m,0.2.2.1.x.x,2.4.4.2.2.2
1455,21,7.0,D,A,x.x.0.2.3.2,x.0.2.2.2.x
1456,21,6.5,C#m,D,x.4.6.6.5.4,x.x.0.2.3.2
1459,21,8.5,E,A,0.2.2.1.x.x,x.0.2.2.2.x
1462,21,10.5,F#m,D,2.4.4.2.2.2,x.x.0.2.3.2
1463,21,12.0,E,Esus4,0.2.2.1.x.x,0.2.2.2.0.0
1465,21,13.0,G5,D,3.x.0.0.3.3,x.x.0.2.3.2
1466,21,12.5,E,G5,0.2.2.1.x.x,3.x.0.0.3.3
1468,21,13.5,D,G5,x.x.0.2.3.2,3.x.0.0.3.3
1469,21,15.0,C,G5,x.3.2.0.1.0,3.x.0.0.3.3
1470,21,14.5,D,C,x.x.0.2.3.2,x.3.2.0.1.0
1471,21,15.5,G5,E,3.x.0.0.3.3,0.2.2.1.x.x
1478,21,19.5,E,D,0.2.2.1.x.x,x.x.0.2.3.2
1482,21,21.5,E,C#m,0.2.2.1.x.x,x.4.6.6.5.4
1485,21,24.0,D,Bb5,x.x.0.2.3.2,x.1.3.3.x.x
1487,21,25.0,G5,Bb5,3.5.5.x.x.x,x.1.3.3.x.x
1488,21,24.5,F5,G5,1.3.3.x.x.x,3.5.5.x.x.x
1569,22,46.5,B,F#5,x.2.4.4.4.2,2.4.4.x.x.x
1570,22,47.5,F#5,B,2.4.4.x.x.x,x.2.4.4.4.2
1576,22,62.0,E,G,0.2.2.1.0.0,3.5.5.4.3.x
1577,22,63.0,D,A,x.x.0.2.3.2,x.0.2.2.2.0
1578,22,62.5,G,D,3.5.5.4.3.x,x.x.0.2.3.2
1580,22,63.5,A,E,x.0.2.2.2.0,0.2.2.1.0.0
1591,23,49.0,G,D,3.2.0.0.0.3,x.x.0.2.3.2
1592,23,49.5,D,C,x.x.0.2.3.2,x.3.2.0.1.0
1593,23,52.5,Bm,C,x.2.4.4.3.2,x.3.2.0.1.0
1594,23,53.5,C,Em,x.3.2.0.1.0,0.2.2.0.0.0
1595,23,82.0,C,D,x.3.2.0.1.0,x.x.0.2.3.2
1597,23,82.5,D,G,x.x.0.2.3.2,3.2.0.0.0.3
1602,23,90.0,D,Dsus4,x.x.0.2.3.2,x.x.0.2.3.3
1604,23,90.5,Dsus4,G,x.x.0.2.3.3,3.2.0.0.0.3
1606,23,94.5,D,Emadd9,x.x.0.2.3.2,0.2.4.0.0.0
1607,23,114.5,Bm,Emadd9,7.9.9.7.7.7,0.2.4.0.0.0
1610,23,126.5,Bm,Am,7.9.9.7.7.7,5.7.7.5.5.5
1611,23,127.5,Am,Em,5.7.7.5.5.5,0.2.2.0.0.0
1612,24,26.0,Dm,Dsus2,x.5.7.7.6.5,x.5.7.7.5.5
1613,24,26.5,Dm,A,x.5.7.7.6.5,x.0.2.2.2.0
1621,24,129.0,Dsus4,D,x.0.x.7.8.x,x.0.x.7.7.x
1622,24,130.0,D6,E/C,x.0.9.7.x.x,x.x.10.9.0.x
1623,24,129.5,D,D6,x.0.x.7.7.x,x.0.9.7.x.x
1624,24,131.0,G/A,Am,x.0.5.4.x.x,x.0.7.5.x.x
1625,24,130.5,E/C,G/A,x.x.10.9.0.x,x.0.5.4.x.x
1626,24,131.5,Am,G/A,x.0.7.5.x.x,x.0.5.4.x.x
1627,24,133.0,A7,D,x.0.x.9.8.x,x.0.x.7.7.x
1628,24,132.5,G/A,A7,x.0.5.4.x.x,x.0.x.9.8.x
1629,24,134.0,D6,Am,x.0.9.7.x.x,x.0.10.9.x.x
1632,24,134.5,Am,G/A,x.0.10.9.x.x,x.0.5.4.x.x
1634,25,1.0,E,C#m/G#,0.2.2.1.0.0,4.4.6.6.5.4
1635,25,2.0,G#,A,4.6.6.5.4.4,5.7.7.6.5.5
1636,25,1.5,C#m/G#,G#,4.4.6.6.5.4,4.6.6.5.4.4
1638,25,2.5,A,E,5.7.7.6.5.5,0.2.2.1.0.0
1673,25,21.0,E,G#,0.2.2.1.0.0,4.6.6.5.4.4
1675,25,22.0,A,Am,5.7.7.6.5.5,5.7.7.5.5.5
1677,25,22.5,Am,C#m,5.7.7.5.5.5,9.11.11.9.9.9
1678,25,23.5,C#m,B,9.11.11.9.9.9,7.9.9.8.7.7
1709,25,59.5,B,E,7.9.9.8.7.7,0.2.2.1.0.0
1720,25,65.5,A,G#,5.7.7.6.5.5,4.6.6.5.4.4
1721,26,8.5,C,F,x.3.2.0.1.0,1.3.3.2.1.1
1722,26,9.5,F,C,1.3.3.2.1.1,x.3.2.0.1.0
1723,26,10.5,C,C,x.3.2.0.1.0,x.3.2.0.1.0
1726,26,13.5,C,G,x.3.2.0.1.0,3.2.0.0.0.3
1727,26,14.5,G,G,3.2.0.0.0.3,3.2.0.0.0.3
1730,26,17.5,G,C,3.2.0.0.0.3,x.3.2.0.1.0
1748,26,36.0,G,F,3.2.0.0.0.3,1.3.3.2.1.1
1753,27,12.0,Cm,A#,8.10.10.8.8.8,6.8.8.7.6.6
1754,27,13.0,Gm,Cm,3.5.5.3.3.6,x.3.5.5.4.3
1755,27,12.5,Ab,Gm,4.6.6.5.4.4,3.5.5.3.3.6
1757,27,13.5,Cm,Cm,x.3.5.5.4.3,8.10.10.8.8.8
1760,28,0.5,Am,Em/G,x.x.x.14.13.12,x.x.x.12.12.12
1761,28,1.5,Em/G,Gmaj7,x.x.x.12.12.12,x.x.x.12.15.14
1762,28,2.5,Gmaj7,Am,x.x.x.12.15.14,x.x.x.14.13.12
1763,28,3.5,Am,Am,x.x.x.14.13.12,x.x.x.14.13.12
1774,28,18.5,Am,G,x.0.2.2.1.0,3.2.0.0.x.x
1775,28,19.5,G,Em,3.2.0.0.x.x,0.2.2.0.x.x
1776,28,20.5,Em,C,0.2.2.0.x.x,x.3.2.0.1.x
1777,28,21.5,C,Am,x.3.2.0.1.x,x.0.2.2.1.0
1805,28,69.5,Am,Em/G,x.0.2.2.1.0,x.x.x.0.0.0
1806,28,70.5,Em/G,Gmaj7,x.x.x.0.0.0,x.x.x.0.3.2
1807,28,71.5,Gmaj7,Am,x.x.x.0.3.2,x.0.2.2.1.0
1808,28,72.5,Am,Am,x.0.2.2.1.0,x.0.2.2.1.0
1828,29,39.5,G5,G5/F#,x.x.5.0.3.x,x.x.4.0.3.x
1829,29,40.5,G5/F#,G5/E,x.x.4.0.3.x,x.x.2.0.3.x
1830,29,41.5,G5/E,G5/D,x.x.2.0.3.x,x.x.0.0.3.x
1831,29,42.5,G5/D,C,x.x.0.0.3.x,x.3.5.5.5.x
